,geometry,species_count
342,POINT (-85.77194673002181 10.445642980985866),17
343,POINT (-85.77194673002181 10.455512380985866),17
344,POINT (-85.77194673002181 10.465381780985865),17
345,POINT (-85.77194673002181 10.475251180985865),17
346,POINT (-85.77194673002181 10.485120580985864),17
347,POINT (-85.77194673002181 10.810810780985847),16
348,POINT (-85.77194673002181 10.820680180985846),16
349,POINT (-85.77194673002181 10.830549580985846),16
350,POINT (-85.77194673002181 10.840418980985845),16
351,POINT (-85.77194673002181 10.850288380985845),16
352,POINT (-85.77194673002181 10.860157780985844),16
353,POINT (-85.77194673002181 10.870027180985844),16
354,POINT (-85.77194673002181 10.879896580985843),16
355,POINT (-85.77194673002181 10.889765980985842),16
356,POINT (-85.77194673002181 10.899635380985842),16
357,POINT (-85.77194673002181 10.909504780985841),16
358,POINT (-85.77194673002181 10.919374180985841),16
359,POINT (-85.77194673002181 10.92924358098584),16
360,POINT (-85.77194673002181 10.93911298098584),0
361,POINT (-85.77194673002181 10.94898238098584),0
362,POINT (-85.77194673002181 10.958851780985839),0
363,POINT (-85.77194673002181 10.968721180985838),0
364,POINT (-85.77194673002181 10.978590580985838),0
365,POINT (-85.77194673002181 10.988459980985837),0
366,POINT (-85.77194673002181 10.998329380985837),0
367,POINT (-85.77194673002181 11.008198780985836),0
368,POINT (-85.77194673002181 11.018068180985836),0
369,POINT (-85.77194673002181 11.027937580985835),0
370,POINT (-85.77194673002181 11.037806980985835),0
371,POINT (-85.76386203002181 10.090344580985885),17
372,POINT (-85.76386203002181 10.100213980985885),17
373,POINT (-85.76386203002181 10.110083380985884),17
374,POINT (-85.76386203002181 10.119952780985884),17
375,POINT (-85.76386203002181 10.129822180985883),17
376,POINT (-85.76386203002181 10.139691580985883),17
377,POINT (-85.76386203002181 10.149560980985882),17
378,POINT (-85.76386203002181 10.159430380985881),17
379,POINT (-85.76386203002181 10.169299780985881),17
380,POINT (-85.76386203002181 10.17916918098588),17
381,POINT (-85.76386203002181 10.18903858098588),17
382,POINT (-85.76386203002181 10.19890798098588),17
383,POINT (-85.76386203002181 10.208777380985879),17
384,POINT (-85.76386203002181 10.218646780985878),17
385,POINT (-85.76386203002181 10.228516180985878),17
386,POINT (-85.76386203002181 10.238385580985877),17
387,POINT (-85.76386203002181 10.248254980985877),17
388,POINT (-85.76386203002181 10.258124380985876),17
389,POINT (-85.76386203002181 10.267993780985876),17
390,POINT (-85.76386203002181 10.277863180985875),17
391,POINT (-85.76386203002181 10.287732580985875),17
392,POINT (-85.76386203002181 10.297601980985874),17
393,POINT (-85.76386203002181 10.307471380985874),17
394,POINT (-85.76386203002181 10.317340780985873),17
395,POINT (-85.76386203002181 10.327210180985873),17
396,POINT (-85.76386203002181 10.337079580985872),17
397,POINT (-85.76386203002181 10.346948980985871),17
398,POINT (-85.76386203002181 10.356818380985871),17
399,POINT (-85.76386203002181 10.36668778098587),17
400,POINT (-85.76386203002181 10.37655718098587),17
401,POINT (-85.76386203002181 10.38642658098587),17
402,POINT (-85.76386203002181 10.396295980985869),17
403,POINT (-85.76386203002181 10.406165380985868),17
404,POINT (-85.76386203002181 10.416034780985868),17
405,POINT (-85.76386203002181 10.425904180985867),17
406,POINT (-85.76386203002181 10.435773580985867),17
407,POINT (-85.76386203002181 10.445642980985866),17
408,POINT (-85.76386203002181 10.455512380985866),17
409,POINT (-85.76386203002181 10.465381780985865),17
410,POINT (-85.76386203002181 10.475251180985865),17
411,POINT (-85.76386203002181 10.485120580985864),17
412,POINT (-85.76386203002181 10.494989980985864),17
413,POINT (-85.76386203002181 10.504859380985863),17
414,POINT (-85.76386203002181 10.810810780985847),16
415,POINT (-85.76386203002181 10.820680180985846),16
416,POINT (-85.76386203002181 10.830549580985846),16
417,POINT (-85.76386203002181 10.840418980985845),16
418,POINT (-85.76386203002181 10.850288380985845),16
419,POINT (-85.76386203002181 10.860157780985844),16
420,POINT (-85.76386203002181 10.870027180985844),16
421,POINT (-85.76386203002181 10.879896580985843),16
422,POINT (-85.76386203002181 10.889765980985842),16
423,POINT (-85.76386203002181 10.899635380985842),16
424,POINT (-85.76386203002181 10.909504780985841),16
425,POINT (-85.76386203002181 10.919374180985841),16
426,POINT (-85.76386203002181 10.92924358098584),0
427,POINT (-85.76386203002181 10.93911298098584),0
428,POINT (-85.76386203002181 10.94898238098584),0
429,POINT (-85.76386203002181 10.958851780985839),0
430,POINT (-85.76386203002181 10.968721180985838),0
431,POINT (-85.76386203002181 10.978590580985838),0
432,POINT (-85.76386203002181 10.988459980985837),0
433,POINT (-85.76386203002181 10.998329380985837),0
434,POINT (-85.76386203002181 11.008198780985836),0
435,POINT (-85.76386203002181 11.018068180985836),0
436,POINT (-85.76386203002181 11.027937580985835),0
437,POINT (-85.76386203002181 11.037806980985835),0
438,POINT (-85.75577733002181 10.080475180985886),17
439,POINT (-85.75577733002181 10.090344580985885),17
440,POINT (-85.75577733002181 10.100213980985885),17
441,POINT (-85.75577733002181 10.110083380985884),17
442,POINT (-85.75577733002181 10.119952780985884),17
443,POINT (-85.75577733002181 10.129822180985883),17
444,POINT (-85.75577733002181 10.139691580985883),17
445,POINT (-85.75577733002181 10.149560980985882),17
446,POINT (-85.75577733002181 10.159430380985881),17
447,POINT (-85.75577733002181 10.169299780985881),17
448,POINT (-85.75577733002181 10.17916918098588),17
449,POINT (-85.75577733002181 10.18903858098588),17
450,POINT (-85.75577733002181 10.19890798098588),17
451,POINT (-85.75577733002181 10.208777380985879),17
452,POINT (-85.75577733002181 10.218646780985878),17
453,POINT (-85.75577733002181 10.228516180985878),17
454,POINT (-85.75577733002181 10.238385580985877),17
455,POINT (-85.75577733002181 10.248254980985877),17
456,POINT (-85.75577733002181 10.258124380985876),17
457,POINT (-85.75577733002181 10.267993780985876),17
458,POINT (-85.75577733002181 10.277863180985875),17
459,POINT (-85.75577733002181 10.287732580985875),17
460,POINT (-85.75577733002181 10.297601980985874),17
461,POINT (-85.75577733002181 10.307471380985874),17
462,POINT (-85.75577733002181 10.317340780985873),17
463,POINT (-85.75577733002181 10.327210180985873),17
464,POINT (-85.75577733002181 10.337079580985872),17
465,POINT (-85.75577733002181 10.346948980985871),17
466,POINT (-85.75577733002181 10.356818380985871),17
467,POINT (-85.75577733002181 10.36668778098587),17
468,POINT (-85.75577733002181 10.37655718098587),17
469,POINT (-85.75577733002181 10.38642658098587),17
470,POINT (-85.75577733002181 10.396295980985869),17
471,POINT (-85.75577733002181 10.406165380985868),17
472,POINT (-85.75577733002181 10.416034780985868),17
473,POINT (-85.75577733002181 10.425904180985867),17
474,POINT (-85.75577733002181 10.435773580985867),17
475,POINT (-85.75577733002181 10.445642980985866),17
476,POINT (-85.75577733002181 10.455512380985866),17
477,POINT (-85.75577733002181 10.465381780985865),17
478,POINT (-85.75577733002181 10.475251180985865),17
479,POINT (-85.75577733002181 10.485120580985864),17
480,POINT (-85.75577733002181 10.494989980985864),17
481,POINT (-85.75577733002181 10.504859380985863),17
482,POINT (-85.75577733002181 10.514728780985862),17
483,POINT (-85.75577733002181 10.524598180985862),17
484,POINT (-85.75577733002181 10.810810780985847),16
485,POINT (-85.75577733002181 10.820680180985846),16
486,POINT (-85.75577733002181 10.830549580985846),16
487,POINT (-85.75577733002181 10.840418980985845),16
488,POINT (-85.75577733002181 10.850288380985845),16
489,POINT (-85.75577733002181 10.860157780985844),16
490,POINT (-85.75577733002181 10.870027180985844),16
491,POINT (-85.75577733002181 10.879896580985843),16
492,POINT (-85.75577733002181 10.889765980985842),16
493,POINT (-85.75577733002181 10.899635380985842),16
494,POINT (-85.75577733002181 10.909504780985841),16
495,POINT (-85.75577733002181 10.919374180985841),16
496,POINT (-85.75577733002181 10.92924358098584),16
497,POINT (-85.75577733002181 10.93911298098584),0
498,POINT (-85.75577733002181 10.94898238098584),0
499,POINT (-85.75577733002181 10.958851780985839),0
500,POINT (-85.75577733002181 10.968721180985838),0
501,POINT (-85.75577733002181 10.978590580985838),0
502,POINT (-85.75577733002181 10.988459980985837),0
503,POINT (-85.75577733002181 10.998329380985837),0
504,POINT (-85.75577733002181 11.008198780985836),0
505,POINT (-85.75577733002181 11.018068180985836),0
506,POINT (-85.75577733002181 11.027937580985835),0
507,POINT (-85.75577733002181 11.037806980985835),0
508,POINT (-85.75577733002181 11.047676380985834),0
509,POINT (-85.74769263002182 10.070605780985886),17
510,POINT (-85.74769263002182 10.080475180985886),17
511,POINT (-85.74769263002182 10.090344580985885),17
512,POINT (-85.74769263002182 10.100213980985885),17
513,POINT (-85.74769263002182 10.110083380985884),17
514,POINT (-85.74769263002182 10.119952780985884),17
515,POINT (-85.74769263002182 10.129822180985883),17
516,POINT (-85.74769263002182 10.139691580985883),17
517,POINT (-85.74769263002182 10.149560980985882),17
518,POINT (-85.74769263002182 10.159430380985881),17
519,POINT (-85.74769263002182 10.169299780985881),17
520,POINT (-85.74769263002182 10.17916918098588),17
