,Amphibians,Reptiles,Mammals
951,17,42,101
952,17,42,101
953,17,42,102
954,17,44,103
955,17,43,103
956,17,46,103
957,17,46,103
958,17,46,105
959,17,49,105
960,17,52,105
961,17,53,105
962,17,53,107
963,17,56,107
964,17,57,107
965,17,58,107
966,17,61,107
967,18,61,110
968,19,61,111
969,19,62,111
970,19,59,111
971,19,57,114
972,19,55,114
973,19,53,115
974,20,55,116
975,20,54,116
976,21,55,116
977,20,56,116
978,19,54,116
979,19,54,117
980,18,54,117
981,18,53,118
982,18,53,116
983,18,50,114
984,17,50,114
985,16,50,115
986,16,48,113
987,16,45,111
988,17,32,99
989,17,32,100
990,17,31,100
991,17,31,100
992,17,31,100
993,17,32,100
994,17,32,100
995,17,33,100
996,17,33,100
997,17,33,100
998,17,33,100
999,17,33,100
1000,17,33,101
1001,17,33,101
1002,17,33,101
1003,17,34,102
1004,17,35,102
1005,17,35,102
1006,17,35,101
1007,17,35,101
1008,17,36,101
1009,17,37,101
1010,17,37,101
1011,17,39,101
1012,17,39,101
1013,17,41,101
1014,17,42,102
1015,17,42,101
1016,17,42,101
1017,17,42,101
1018,17,43,101
1019,17,43,103
1020,17,44,103
1021,17,46,103
1022,17,47,103
1023,17,46,105
1024,17,48,105
1025,17,51,105
1026,17,52,105
1027,17,54,106
1028,17,56,106
1029,17,61,106
1030,17,62,107
1031,17,62,108
1032,17,65,108
1033,19,65,110
1034,19,67,111
1035,19,64,112
1036,19,59,113
1037,20,58,114
1038,20,58,115
1039,23,56,115
1040,24,57,116
1041,24,56,116
1042,24,55,117
1043,23,54,117
1044,23,53,117
1045,20,54,119
1046,18,52,121
1047,18,51,119
1048,18,50,116
1049,18,48,116
1050,18,48,115
1051,16,49,115
1052,17,45,112
1053,17,44,109
1054,17,32,99
1055,17,32,100
1056,17,32,100
1057,17,31,100
1058,17,31,100
1059,17,31,100
1060,17,32,100
1061,17,31,100
1062,17,32,100
1063,17,33,100
1064,17,33,100
1065,17,33,100
1066,17,33,100
1067,17,33,101
1068,17,33,101
1069,17,33,101
1070,17,34,102
1071,17,35,102
1072,17,35,101
1073,17,35,101
1074,17,36,101
1075,17,36,101
1076,17,37,101
1077,17,37,101
1078,17,39,101
1079,17,39,101
1080,17,42,102
1081,17,42,102
1082,17,42,101
1083,17,42,101
1084,17,43,101
1085,17,43,103
1086,17,44,103
1087,17,44,103
1088,17,47,103
1089,17,47,104
1090,17,47,105
1091,17,51,105
1092,17,52,105
1093,17,53,105
1094,17,55,106
1095,17,60,106
1096,17,61,107
1097,17,63,108
1098,17,65,108
1099,18,67,109
1100,19,69,112
1101,19,68,113
1102,20,66,114
1103,21,66,114
1104,21,61,116
1105,22,58,116
1106,23,57,116
1107,26,58,119
1108,27,57,120
1109,26,56,120
1110,26,55,121
1111,25,54,120
1112,23,54,121
1113,19,52,123
1114,18,52,120
1115,18,50,117
1116,19,49,116
1117,19,48,115
1118,19,49,114
1119,17,44,111
1120,17,44,107
1121,17,32,99
1122,17,32,100
1123,17,32,100
1124,17,31,100
1125,17,31,100
1126,17,31,100
1127,17,32,100
1128,17,31,100
1129,17,32,100
1130,17,32,100
1131,17,33,100
1132,17,33,100
1133,17,33,100
1134,17,33,100
1135,17,33,101
1136,17,33,101
1137,17,35,102
1138,17,35,101
1139,17,35,101
1140,17,35,101
1141,17,37,101
1142,17,36,101
1143,17,37,101
1144,17,37,101
1145,17,39,101
1146,17,42,102
1147,17,42,102
1148,17,42,102
1149,17,42,101
1150,17,43,101
1151,17,43,102
1152,17,44,103
1153,17,44,103
1154,17,44,103
1155,17,47,104
1156,17,47,104
1157,17,48,105
1158,17,51,105
1159,17,53,105
1160,17,53,107
1161,17,56,107
1162,17,60,107
1163,17,62,108
1164,17,64,110
1165,18,65,110
1166,18,70,111
1167,18,70,112
1168,19,69,114
1169,21,69,115
1170,22,68,116
1171,24,63,119
1172,26,61,119
1173,28,58,120
1174,27,57,120
1175,29,55,122
1176,26,53,122
1177,29,55,121
1178,28,55,120
1179,25,53,122
1180,21,52,123
1181,18,50,120
1182,20,50,117
1183,21,50,116
1184,20,48,114
1185,19,46,112
1186,18,45,109
1187,17,32,100
1188,17,32,100
1189,17,32,100
1190,17,31,100
1191,17,31,100
1192,17,31,100
1193,17,31,100
1194,17,32,100
1195,17,32,100
1196,17,32,100
1197,17,33,100
1198,17,33,100
1199,17,33,100
1200,17,33,100
1201,17,33,101
1202,17,33,101
1203,17,35,101
1204,17,35,102
1205,17,35,101
1206,17,36,101
1207,17,37,101
1208,17,37,101
1209,17,36,101
1210,17,38,102
1211,17,40,102
1212,17,42,102
1213,17,42,102
1214,17,42,101
1215,17,42,101
1216,17,43,102
1217,17,43,103
1218,17,44,104
1219,17,44,104
1220,17,45,105
1221,17,47,105
1222,17,47,105
1223,17,49,106
1224,17,54,107
1225,17,56,108
1226,17,55,108
1227,17,59,109
1228,17,58,109
1229,17,61,109
1230,17,63,110
1231,18,67,110
1232,18,68,112
1233,19,68,114
1234,21,70,116
1235,22,69,118
1236,26,68,120
1237,29,69,120
1238,32,59,121
1239,29,57,121
1240,31,53,123
1241,30,51,122
1242,25,55,122
1243,31,55,122
1244,32,54,122
1245,29,52,122
1246,26,50,123
1247,23,51,120
1248,21,51,116
1249,21,48,115
1250,20,49,113
1251,19,46,112
1252,19,45,108
1253,17,32,100
1254,17,32,100
1255,17,31,100
1256,17,31,100
1257,17,31,101
1258,17,31,101
1259,17,31,100
1260,17,32,100
1261,17,32,100
1262,17,32,100
1263,17,32,100
1264,17,33,100
1265,17,33,100
1266,17,33,100
1267,17,33,100
1268,17,34,101
1269,17,35,101
1270,17,35,102
1271,17,35,101
1272,17,36,101
1273,17,37,102
1274,17,37,102
1275,17,38,102
1276,17,40,103
1277,17,41,104
1278,17,42,104
1279,17,42,104
1280,17,42,102
1281,17,42,103
1282,17,43,103
1283,17,44,104
1284,17,44,104
1285,17,45,105
1286,17,45,105
1287,17,47,105
1288,17,48,107
1289,17,51,108
1290,17,56,108
1291,17,55,108
1292,17,56,109
1293,17,59,110
1294,17,60,110
1295,17,62,110
1296,18,67,112
1297,19,68,115
1298,19,66,116
1299,20,67,118
1300,22,68,118
1301,26,70,118
1302,29,68,119
1303,31,64,120
1304,33,57,122
1305,30,53,124
1306,31,56,124
1307,29,57,123
1308,28,57,122
1309,34,57,124
1310,33,56,121
1311,30,51,122
1312,27,51,122
1313,27,51,119
1314,25,51,115
1315,23,48,114
1316,20,48,115
1317,19,46,111
1318,19,43,107
1319,17,32,100
1320,17,32,100
1321,17,32,100
1322,17,31,101
1323,17,31,101
1324,17,31,101
1325,17,31,101
1326,17,31,101
1327,17,32,101
1328,17,32,100
1329,17,32,100
1330,17,32,100
1331,17,32,100
1332,17,33,100
1333,17,33,100
1334,17,34,100
1335,17,34,100
1336,17,35,102
1337,17,35,102
1338,17,35,101
1339,17,37,102
1340,17,37,102
1341,17,38,102
1342,17,39,104
1343,17,40,104
1344,17,41,104
1345,17,42,105
1346,17,42,104
1347,17,42,104
1348,17,42,104
1349,17,44,103
1350,17,44,104
1351,17,44,105
1352,17,45,105
1353,17,46,106
1354,17,47,106
1355,17,50,108
1356,17,53,108
1357,17,56,109
1358,17,55,110
1359,17,56,111
1360,17,60,112
1361,17,62,112
1362,18,64,114
1363,19,68,115
1364,19,70,119
1365,19,69,118
1366,21,68,119
1367,24,70,119
1368,27,68,120
1369,30,66,120
1370,32,64,122
1371,34,57,122
1372,36,56,124
1373,37,58,124
1374,37,57,125
1375,34,55,123
1376,36,53,123
1377,34,53,121
1378,30,50,122
1379,28,50,121
1380,26,50,118
1381,25,49,115
1382,25,48,115
1383,23,48,113
1384,20,45,110
1385,17,32,100
1386,17,32,100
1387,17,32,101
1388,17,31,101
1389,17,31,101
1390,17,31,101
1391,17,31,101
1392,17,32,101
1393,17,32,101
1394,17,32,100
1395,17,32,100
1396,17,32,100
1397,17,32,100
1398,17,33,100
1399,17,34,100
1400,17,34,100
1401,17,34,101
1402,17,35,101
1403,17,35,102
1404,17,36,102
1405,17,38,102
1406,17,38,102
1407,17,38,103
1408,17,39,105
1409,17,41,105
1410,17,41,105
1411,17,42,104
1412,17,42,104
1413,17,42,105
1414,17,42,104
1415,17,44,105
1416,17,44,104
1417,17,45,106
1418,17,45,106
1419,17,46,106
1420,17,49,107
1421,17,52,108
1422,17,53,109
1423,17,55,110
1424,17,56,112
1425,17,59,112
1426,17,62,113
1427,17,65,114
1428,19,65,116
1429,19,68,118
1430,19,67,119
